subject,round,sample_a,sample_b,rating
S01,1,A,B,0
S01,1,A,C,0
S01,1,A,D,0
S01,1,A,E,0
S01,1,B,C,0
S01,1,B,D,0
S01,1,B,E,0
S01,1,C,D,0
S01,1,C,E,0
S01,1,D,E,0
S01,2,A,B,0
S01,2,A,C,0
S01,2,A,D,0
S01,2,A,E,0
S01,2,B,C,0
S01,2,B,D,0
S01,2,B,E,0
S01,2,C,D,0
S01,2,C,E,0
S01,2,D,E,0
S01,3,A,B,0
S01,3,A,C,0
S01,3,A,D,0
S01,3,A,E,0
S01,3,B,C,0
S01,3,B,D,0
S01,3,B,E,0
S01,3,C,D,0
S01,3,C,E,0
S01,3,D,E,0
S01,4,A,B,0
S01,4,A,C,0
S01,4,A,D,0
S01,4,A,E,0
S01,4,B,C,0
S01,4,B,D,0
S01,4,B,E,0
S01,4,C,D,0
S01,4,C,E,0
S01,4,D,E,0
S01,5,A,B,0
S01,5,A,C,0
S01,5,A,D,0
S01,5,A,E,0
S01,5,B,C,0
S01,5,B,D,0
S01,5,B,E,0
S01,5,C,D,0
S01,5,C,E,0
S01,5,D,E,0
S02,1,A,B,0
S02,1,A,C,0
S02,1,A,D,0
S02,1,A,E,0
S02,1,B,C,0
S02,1,B,D,0
S02,1,B,E,0
S02,1,C,D,0
S02,1,C,E,0
S02,1,D,E,0
S02,2,A,B,0
S02,2,A,C,0
S02,2,A,D,0
S02,2,A,E,0
S02,2,B,C,0
S02,2,B,D,0
S02,2,B,E,0
S02,2,C,D,0
S02,2,C,E,0
S02,2,D,E,0
S02,3,A,B,0
S02,3,A,C,0
S02,3,A,D,0
S02,3,A,E,0
S02,3,B,C,0
S02,3,B,D,0
S02,3,B,E,0
S02,3,C,D,0
S02,3,C,E,0
S02,3,D,E,0
S02,4,A,B,0
S02,4,A,C,0
S02,4,A,D,0
S02,4,A,E,0
S02,4,B,C,0
S02,4,B,D,0
S02,4,B,E,0
S02,4,C,D,0
S02,4,C,E,0
S02,4,D,E,0
S02,5,A,B,0
S02,5,A,C,0
S02,5,A,D,0
S02,5,A,E,0
S02,5,B,C,0
S02,5,B,D,0
S02,5,B,E,0
S02,5,C,D,0
S02,5,C,E,0
S02,5,D,E,0
